sku,nom,categorie,prix_dt,disponibilite,caracteristiques,description
LS-CO-001094,Résistance 13Ω 1W ±1% (CMS 0805),Composants,0.16,en stock,"13Ω, 1W, tolérance ±1%, CMS 0805","Résistance 13Ω, 1W, ±1%, boîtier CMS 0805."
LS-CO-001095,Résistance 13Ω 1W ±1% (CMS 1206),Composants,0.15,en stock,"13Ω, 1W, tolérance ±1%, CMS 1206","Résistance 13Ω, 1W, ±1%, boîtier CMS 1206."
LS-CO-001096,Résistance 13Ω 1W ±1% (CMS 0603),Composants,0.15,stock faible,"13Ω, 1W, tolérance ±1%, CMS 0603","Résistance 13Ω, 1W, ±1%, boîtier CMS 0603."
LS-CO-001097,Résistance 13Ω 1W ±5% (traversant (THT)),Composants,0.15,stock faible,"13Ω, 1W, tolérance ±5%, traversant (THT)","Résistance 13Ω, 1W, ±5%, boîtier traversant (THT)."
LS-CO-001098,Résistance 13Ω 1W ±5% (CMS 0805),Composants,0.15,rupture de stock,"13Ω, 1W, tolérance ±5%, CMS 0805","Résistance 13Ω, 1W, ±5%, boîtier CMS 0805."
LS-CO-001099,Résistance 13Ω 1W ±5% (CMS 1206),Composants,0.15,en stock,"13Ω, 1W, tolérance ±5%, CMS 1206","Résistance 13Ω, 1W, ±5%, boîtier CMS 1206."
LS-CO-001100,Résistance 13Ω 1W ±5% (CMS 0603),Composants,0.16,en stock,"13Ω, 1W, tolérance ±5%, CMS 0603","Résistance 13Ω, 1W, ±5%, boîtier CMS 0603."
LS-CO-001101,Résistance 13Ω 1W ±10% (traversant (THT)),Composants,0.15,en stock,"13Ω, 1W, tolérance ±10%, traversant (THT)","Résistance 13Ω, 1W, ±10%, boîtier traversant (THT)."
LS-CO-001102,Résistance 13Ω 1W ±10% (CMS 0805),Composants,0.15,en stock,"13Ω, 1W, tolérance ±10%, CMS 0805","Résistance 13Ω, 1W, ±10%, boîtier CMS 0805."
LS-CO-001103,Résistance 13Ω 1W ±10% (CMS 1206),Composants,0.15,en stock,"13Ω, 1W, tolérance ±10%, CMS 1206","Résistance 13Ω, 1W, ±10%, boîtier CMS 1206."
LS-CO-001104,Résistance 13Ω 1W ±10% (CMS 0603),Composants,0.15,en stock,"13Ω, 1W, tolérance ±10%, CMS 0603","Résistance 13Ω, 1W, ±10%, boîtier CMS 0603."
LS-CO-001105,Résistance 130Ω 1/8W ±1% (traversant (THT)),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±1%, traversant (THT)","Résistance 130Ω, 1/8W, ±1%, boîtier traversant (THT)."
LS-CO-001106,Résistance 130Ω 1/8W ±1% (CMS 0805),Composants,0.21,sur commande,"130Ω, 1/8W, tolérance ±1%, CMS 0805","Résistance 130Ω, 1/8W, ±1%, boîtier CMS 0805."
LS-CO-001107,Résistance 130Ω 1/8W ±1% (CMS 1206),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±1%, CMS 1206","Résistance 130Ω, 1/8W, ±1%, boîtier CMS 1206."
LS-CO-001108,Résistance 130Ω 1/8W ±1% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±1%, CMS 0603","Résistance 130Ω, 1/8W, ±1%, boîtier CMS 0603."
LS-CO-001109,Résistance 130Ω 1/8W ±5% (traversant (THT)),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±5%, traversant (THT)","Résistance 130Ω, 1/8W, ±5%, boîtier traversant (THT)."
LS-CO-001110,Résistance 130Ω 1/8W ±5% (CMS 0805),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±5%, CMS 0805","Résistance 130Ω, 1/8W, ±5%, boîtier CMS 0805."
LS-CO-001111,Résistance 130Ω 1/8W ±5% (CMS 1206),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±5%, CMS 1206","Résistance 130Ω, 1/8W, ±5%, boîtier CMS 1206."
LS-CO-001112,Résistance 130Ω 1/8W ±5% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±5%, CMS 0603","Résistance 130Ω, 1/8W, ±5%, boîtier CMS 0603."
LS-CO-001113,Résistance 130Ω 1/8W ±10% (traversant (THT)),Composants,0.21,en stock,"130Ω, 1/8W, tolérance ±10%, traversant (THT)","Résistance 130Ω, 1/8W, ±10%, boîtier traversant (THT)."
LS-CO-001114,Résistance 130Ω 1/8W ±10% (CMS 0805),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±10%, CMS 0805","Résistance 130Ω, 1/8W, ±10%, boîtier CMS 0805."
LS-CO-001115,Résistance 130Ω 1/8W ±10% (CMS 1206),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±10%, CMS 1206","Résistance 130Ω, 1/8W, ±10%, boîtier CMS 1206."
LS-CO-001116,Résistance 130Ω 1/8W ±10% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/8W, tolérance ±10%, CMS 0603","Résistance 130Ω, 1/8W, ±10%, boîtier CMS 0603."
LS-CO-001117,Résistance 130Ω 1/4W ±1% (traversant (THT)),Composants,0.2,sur commande,"130Ω, 1/4W, tolérance ±1%, traversant (THT)","Résistance 130Ω, 1/4W, ±1%, boîtier traversant (THT)."
LS-CO-001118,Résistance 130Ω 1/4W ±1% (CMS 0805),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±1%, CMS 0805","Résistance 130Ω, 1/4W, ±1%, boîtier CMS 0805."
LS-CO-001119,Résistance 130Ω 1/4W ±1% (CMS 1206),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±1%, CMS 1206","Résistance 130Ω, 1/4W, ±1%, boîtier CMS 1206."
LS-CO-001120,Résistance 130Ω 1/4W ±1% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±1%, CMS 0603","Résistance 130Ω, 1/4W, ±1%, boîtier CMS 0603."
LS-CO-001121,Résistance 130Ω 1/4W ±5% (traversant (THT)),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±5%, traversant (THT)","Résistance 130Ω, 1/4W, ±5%, boîtier traversant (THT)."
LS-CO-001122,Résistance 130Ω 1/4W ±5% (CMS 0805),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±5%, CMS 0805","Résistance 130Ω, 1/4W, ±5%, boîtier CMS 0805."
LS-CO-001123,Résistance 130Ω 1/4W ±5% (CMS 1206),Composants,0.21,en stock,"130Ω, 1/4W, tolérance ±5%, CMS 1206","Résistance 130Ω, 1/4W, ±5%, boîtier CMS 1206."
LS-CO-001124,Résistance 130Ω 1/4W ±5% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±5%, CMS 0603","Résistance 130Ω, 1/4W, ±5%, boîtier CMS 0603."
LS-CO-001125,Résistance 130Ω 1/4W ±10% (traversant (THT)),Composants,0.21,en stock,"130Ω, 1/4W, tolérance ±10%, traversant (THT)","Résistance 130Ω, 1/4W, ±10%, boîtier traversant (THT)."
LS-CO-001126,Résistance 130Ω 1/4W ±10% (CMS 0805),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±10%, CMS 0805","Résistance 130Ω, 1/4W, ±10%, boîtier CMS 0805."
LS-CO-001127,Résistance 130Ω 1/4W ±10% (CMS 1206),Composants,0.2,stock faible,"130Ω, 1/4W, tolérance ±10%, CMS 1206","Résistance 130Ω, 1/4W, ±10%, boîtier CMS 1206."
LS-CO-001128,Résistance 130Ω 1/4W ±10% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/4W, tolérance ±10%, CMS 0603","Résistance 130Ω, 1/4W, ±10%, boîtier CMS 0603."
LS-CO-001129,Résistance 130Ω 1/2W ±1% (traversant (THT)),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±1%, traversant (THT)","Résistance 130Ω, 1/2W, ±1%, boîtier traversant (THT)."
LS-CO-001130,Résistance 130Ω 1/2W ±1% (CMS 0805),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±1%, CMS 0805","Résistance 130Ω, 1/2W, ±1%, boîtier CMS 0805."
LS-CO-001131,Résistance 130Ω 1/2W ±1% (CMS 1206),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±1%, CMS 1206","Résistance 130Ω, 1/2W, ±1%, boîtier CMS 1206."
LS-CO-001132,Résistance 130Ω 1/2W ±1% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±1%, CMS 0603","Résistance 130Ω, 1/2W, ±1%, boîtier CMS 0603."
LS-CO-001133,Résistance 130Ω 1/2W ±5% (traversant (THT)),Composants,0.21,en stock,"130Ω, 1/2W, tolérance ±5%, traversant (THT)","Résistance 130Ω, 1/2W, ±5%, boîtier traversant (THT)."
LS-CO-001134,Résistance 130Ω 1/2W ±5% (CMS 0805),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±5%, CMS 0805","Résistance 130Ω, 1/2W, ±5%, boîtier CMS 0805."
LS-CO-001135,Résistance 130Ω 1/2W ±5% (CMS 1206),Composants,0.21,en stock,"130Ω, 1/2W, tolérance ±5%, CMS 1206","Résistance 130Ω, 1/2W, ±5%, boîtier CMS 1206."
LS-CO-001136,Résistance 130Ω 1/2W ±5% (CMS 0603),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±5%, CMS 0603","Résistance 130Ω, 1/2W, ±5%, boîtier CMS 0603."
LS-CO-001137,Résistance 130Ω 1/2W ±10% (traversant (THT)),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±10%, traversant (THT)","Résistance 130Ω, 1/2W, ±10%, boîtier traversant (THT)."
LS-CO-001138,Résistance 130Ω 1/2W ±10% (CMS 0805),Composants,0.21,en stock,"130Ω, 1/2W, tolérance ±10%, CMS 0805","Résistance 130Ω, 1/2W, ±10%, boîtier CMS 0805."
LS-CO-001139,Résistance 130Ω 1/2W ±10% (CMS 1206),Composants,0.2,en stock,"130Ω, 1/2W, tolérance ±10%, CMS 1206","Résistance 130Ω, 1/2W, ±10%, boîtier CMS 1206."
LS-CO-001140,Résistance 130Ω 1/2W ±10% (CMS 0603),Composants,0.21,en stock,"130Ω, 1/2W, tolérance ±10%, CMS 0603","Résistance 130Ω, 1/2W, ±10%, boîtier CMS 0603."
LS-CO-001141,Résistance 130Ω 1W ±1% (traversant (THT)),Composants,0.15,en stock,"130Ω, 1W, tolérance ±1%, traversant (THT)","Résistance 130Ω, 1W, ±1%, boîtier traversant (THT)."
LS-CO-001142,Résistance 130Ω 1W ±1% (CMS 0805),Composants,0.15,en stock,"130Ω, 1W, tolérance ±1%, CMS 0805","Résistance 130Ω, 1W, ±1%, boîtier CMS 0805."
LS-CO-001143,Résistance 130Ω 1W ±1% (CMS 1206),Composants,0.15,en stock,"130Ω, 1W, tolérance ±1%, CMS 1206","Résistance 130Ω, 1W, ±1%, boîtier CMS 1206."
LS-CO-001144,Résistance 130Ω 1W ±1% (CMS 0603),Composants,0.16,en stock,"130Ω, 1W, tolérance ±1%, CMS 0603","Résistance 130Ω, 1W, ±1%, boîtier CMS 0603."
LS-CO-001145,Résistance 130Ω 1W ±5% (traversant (THT)),Composants,0.15,en stock,"130Ω, 1W, tolérance ±5%, traversant (THT)","Résistance 130Ω, 1W, ±5%, boîtier traversant (THT)."
LS-CO-001146,Résistance 130Ω 1W ±5% (CMS 0805),Composants,0.16,en stock,"130Ω, 1W, tolérance ±5%, CMS 0805","Résistance 130Ω, 1W, ±5%, boîtier CMS 0805."
LS-CO-001147,Résistance 130Ω 1W ±5% (CMS 1206),Composants,0.15,en stock,"130Ω, 1W, tolérance ±5%, CMS 1206","Résistance 130Ω, 1W, ±5%, boîtier CMS 1206."
LS-CO-001148,Résistance 130Ω 1W ±5% (CMS 0603),Composants,0.16,en stock,"130Ω, 1W, tolérance ±5%, CMS 0603","Résistance 130Ω, 1W, ±5%, boîtier CMS 0603."
LS-CO-001149,Résistance 130Ω 1W ±10% (traversant (THT)),Composants,0.16,en stock,"130Ω, 1W, tolérance ±10%, traversant (THT)","Résistance 130Ω, 1W, ±10%, boîtier traversant (THT)."
LS-CO-001150,Résistance 130Ω 1W ±10% (CMS 0805),Composants,0.15,en stock,"130Ω, 1W, tolérance ±10%, CMS 0805","Résistance 130Ω, 1W, ±10%, boîtier CMS 0805."
LS-CO-001151,Résistance 130Ω 1W ±10% (CMS 1206),Composants,0.15,stock faible,"130Ω, 1W, tolérance ±10%, CMS 1206","Résistance 130Ω, 1W, ±10%, boîtier CMS 1206."
LS-CO-001152,Résistance 130Ω 1W ±10% (CMS 0603),Composants,0.15,en stock,"130Ω, 1W, tolérance ±10%, CMS 0603","Résistance 130Ω, 1W, ±10%, boîtier CMS 0603."
LS-CO-001153,Résistance 1.3kΩ 1/8W ±1% (traversant (THT)),Composants,0.21,en stock,"1.3kΩ, 1/8W, tolérance ±1%, traversant (THT)","Résistance 1.3kΩ, 1/8W, ±1%, boîtier traversant (THT)."
LS-CO-001154,Résistance 1.3kΩ 1/8W ±1% (CMS 0805),Composants,0.21,en stock,"1.3kΩ, 1/8W, tolérance ±1%, CMS 0805","Résistance 1.3kΩ, 1/8W, ±1%, boîtier CMS 0805."
LS-CO-001155,Résistance 1.3kΩ 1/8W ±1% (CMS 1206),Composants,0.21,en stock,"1.3kΩ, 1/8W, tolérance ±1%, CMS 1206","Résistance 1.3kΩ, 1/8W, ±1%, boîtier CMS 1206."
LS-CO-001156,Résistance 1.3kΩ 1/8W ±1% (CMS 0603),Composants,0.2,en stock,"1.3kΩ, 1/8W, tolérance ±1%, CMS 0603","Résistance 1.3kΩ, 1/8W, ±1%, boîtier CMS 0603."
LS-CO-001157,Résistance 1.3kΩ 1/8W ±5% (traversant (THT)),Composants,0.19,en stock,"1.3kΩ, 1/8W, tolérance ±5%, traversant (THT)","Résistance 1.3kΩ, 1/8W, ±5%, boîtier traversant (THT)."
LS-CO-001158,Résistance 1.3kΩ 1/8W ±5% (CMS 0805),Composants,0.2,en stock,"1.3kΩ, 1/8W, tolérance ±5%, CMS 0805","Résistance 1.3kΩ, 1/8W, ±5%, boîtier CMS 0805."
LS-CO-001159,Résistance 1.3kΩ 1/8W ±5% (CMS 1206),Composants,0.21,en stock,"1.3kΩ, 1/8W, tolérance ±5%, CMS 1206","Résistance 1.3kΩ, 1/8W, ±5%, boîtier CMS 1206."
LS-CO-001160,Résistance 1.3kΩ 1/8W ±5% (CMS 0603),Composants,0.2,sur commande,"1.3kΩ, 1/8W, tolérance ±5%, CMS 0603","Résistance 1.3kΩ, 1/8W, ±5%, boîtier CMS 0603."
LS-CO-001161,Résistance 1.3kΩ 1/8W ±10% (traversant (THT)),Composants,0.2,en stock,"1.3kΩ, 1/8W, tolérance ±10%, traversant (THT)","Résistance 1.3kΩ, 1/8W, ±10%, boîtier traversant (THT)."
LS-CO-001162,Résistance 1.3kΩ 1/8W ±10% (CMS 0805),Composants,0.21,en stock,"1.3kΩ, 1/8W, tolérance ±10%, CMS 0805","Résistance 1.3kΩ, 1/8W, ±10%, boîtier CMS 0805."
LS-CO-001163,Résistance 1.3kΩ 1/8W ±10% (CMS 1206),Composants,0.21,sur commande,"1.3kΩ, 1/8W, tolérance ±10%, CMS 1206","Résistance 1.3kΩ, 1/8W, ±10%, boîtier CMS 1206."
LS-CO-001164,Résistance 1.3kΩ 1/8W ±10% (CMS 0603),Composants,0.2,rupture de stock,"1.3kΩ, 1/8W, tolérance ±10%, CMS 0603","Résistance 1.3kΩ, 1/8W, ±10%, boîtier CMS 0603."
LS-CO-001165,Résistance 1.3kΩ 1/4W ±1% (traversant (THT)),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±1%, traversant (THT)","Résistance 1.3kΩ, 1/4W, ±1%, boîtier traversant (THT)."
LS-CO-001166,Résistance 1.3kΩ 1/4W ±1% (CMS 0805),Composants,0.21,en stock,"1.3kΩ, 1/4W, tolérance ±1%, CMS 0805","Résistance 1.3kΩ, 1/4W, ±1%, boîtier CMS 0805."
LS-CO-001167,Résistance 1.3kΩ 1/4W ±1% (CMS 1206),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±1%, CMS 1206","Résistance 1.3kΩ, 1/4W, ±1%, boîtier CMS 1206."
LS-CO-001168,Résistance 1.3kΩ 1/4W ±1% (CMS 0603),Composants,0.2,stock faible,"1.3kΩ, 1/4W, tolérance ±1%, CMS 0603","Résistance 1.3kΩ, 1/4W, ±1%, boîtier CMS 0603."
LS-CO-001169,Résistance 1.3kΩ 1/4W ±5% (traversant (THT)),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±5%, traversant (THT)","Résistance 1.3kΩ, 1/4W, ±5%, boîtier traversant (THT)."
LS-CO-001170,Résistance 1.3kΩ 1/4W ±5% (CMS 0805),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±5%, CMS 0805","Résistance 1.3kΩ, 1/4W, ±5%, boîtier CMS 0805."
LS-CO-001171,Résistance 1.3kΩ 1/4W ±5% (CMS 1206),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±5%, CMS 1206","Résistance 1.3kΩ, 1/4W, ±5%, boîtier CMS 1206."
LS-CO-001172,Résistance 1.3kΩ 1/4W ±5% (CMS 0603),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±5%, CMS 0603","Résistance 1.3kΩ, 1/4W, ±5%, boîtier CMS 0603."
LS-CO-001173,Résistance 1.3kΩ 1/4W ±10% (traversant (THT)),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±10%, traversant (THT)","Résistance 1.3kΩ, 1/4W, ±10%, boîtier traversant (THT)."
LS-CO-001174,Résistance 1.3kΩ 1/4W ±10% (CMS 0805),Composants,0.2,en stock,"1.3kΩ, 1/4W, tolérance ±10%, CMS 0805","Résistance 1.3kΩ, 1/4W, ±10%, boîtier CMS 0805."
LS-CO-001175,Résistance 1.3kΩ 1/4W ±10% (CMS 1206),Composants,0.21,en stock,"1.3kΩ, 1/4W, tolérance ±10%, CMS 1206","Résistance 1.3kΩ, 1/4W, ±10%, boîtier CMS 1206."
LS-CO-001176,Résistance 1.3kΩ 1/4W ±10% (CMS 0603),Composants,0.2,stock faible,"1.3kΩ, 1/4W, tolérance ±10%, CMS 0603","Résistance 1.3kΩ, 1/4W, ±10%, boîtier CMS 0603."
LS-CO-001177,Résistance 1.3kΩ 1/2W ±1% (traversant (THT)),Composants,0.21,stock faible,"1.3kΩ, 1/2W, tolérance ±1%, traversant (THT)","Résistance 1.3kΩ, 1/2W, ±1%, boîtier traversant (THT)."
LS-CO-001178,Résistance 1.3kΩ 1/2W ±1% (CMS 0805),Composants,0.2,en stock,"1.3kΩ, 1/2W, tolérance ±1%, CMS 0805","Résistance 1.3kΩ, 1/2W, ±1%, boîtier CMS 0805."
LS-CO-001179,Résistance 1.3kΩ 1/2W ±1% (CMS 1206),Composants,0.2,en stock,"1.3kΩ, 1/2W, tolérance ±1%, CMS 1206","Résistance 1.3kΩ, 1/2W, ±1%, boîtier CMS 1206."
LS-CO-001180,Résistance 1.3kΩ 1/2W ±1% (CMS 0603),Composants,0.21,en stock,"1.3kΩ, 1/2W, tolérance ±1%, CMS 0603","Résistance 1.3kΩ, 1/2W, ±1%, boîtier CMS 0603."
LS-CO-001181,Résistance 1.3kΩ 1/2W ±5% (traversant (THT)),Composants,0.21,en stock,"1.3kΩ, 1/2W, tolérance ±5%, traversant (THT)","Résistance 1.3kΩ, 1/2W, ±5%, boîtier traversant (THT)."
LS-CO-001182,Résistance 1.3kΩ 1/2W ±5% (CMS 0805),Composants,0.19,en stock,"1.3kΩ, 1/2W, tolérance ±5%, CMS 0805","Résistance 1.3kΩ, 1/2W, ±5%, boîtier CMS 0805."
LS-CO-001183,Résistance 1.3kΩ 1/2W ±5% (CMS 1206),Composants,0.21,en stock,"1.3kΩ, 1/2W, tolérance ±5%, CMS 1206","Résistance 1.3kΩ, 1/2W, ±5%, boîtier CMS 1206."
LS-CO-001184,Résistance 1.3kΩ 1/2W ±5% (CMS 0603),Composants,0.2,rupture de stock,"1.3kΩ, 1/2W, tolérance ±5%, CMS 0603","Résistance 1.3kΩ, 1/2W, ±5%, boîtier CMS 0603."
LS-CO-001185,Résistance 1.3kΩ 1/2W ±10% (traversant (THT)),Composants,0.21,en stock,"1.3kΩ, 1/2W, tolérance ±10%, traversant (THT)","Résistance 1.3kΩ, 1/2W, ±10%, boîtier traversant (THT)."
LS-CO-001186,Résistance 1.3kΩ 1/2W ±10% (CMS 0805),Composants,0.21,en stock,"1.3kΩ, 1/2W, tolérance ±10%, CMS 0805","Résistance 1.3kΩ, 1/2W, ±10%, boîtier CMS 0805."
LS-CO-001187,Résistance 1.3kΩ 1/2W ±10% (CMS 1206),Composants,0.2,en stock,"1.3kΩ, 1/2W, tolérance ±10%, CMS 1206","Résistance 1.3kΩ, 1/2W, ±10%, boîtier CMS 1206."
LS-CO-001188,Résistance 1.3kΩ 1/2W ±10% (CMS 0603),Composants,0.19,en stock,"1.3kΩ, 1/2W, tolérance ±10%, CMS 0603","Résistance 1.3kΩ, 1/2W, ±10%, boîtier CMS 0603."
LS-CO-001189,Résistance 1.3kΩ 1W ±1% (traversant (THT)),Composants,0.15,sur commande,"1.3kΩ, 1W, tolérance ±1%, traversant (THT)","Résistance 1.3kΩ, 1W, ±1%, boîtier traversant (THT)."
LS-CO-001190,Résistance 1.3kΩ 1W ±1% (CMS 0805),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±1%, CMS 0805","Résistance 1.3kΩ, 1W, ±1%, boîtier CMS 0805."
LS-CO-001191,Résistance 1.3kΩ 1W ±1% (CMS 1206),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±1%, CMS 1206","Résistance 1.3kΩ, 1W, ±1%, boîtier CMS 1206."
LS-CO-001192,Résistance 1.3kΩ 1W ±1% (CMS 0603),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±1%, CMS 0603","Résistance 1.3kΩ, 1W, ±1%, boîtier CMS 0603."
LS-CO-001193,Résistance 1.3kΩ 1W ±5% (traversant (THT)),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±5%, traversant (THT)","Résistance 1.3kΩ, 1W, ±5%, boîtier traversant (THT)."
LS-CO-001194,Résistance 1.3kΩ 1W ±5% (CMS 0805),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±5%, CMS 0805","Résistance 1.3kΩ, 1W, ±5%, boîtier CMS 0805."
LS-CO-001195,Résistance 1.3kΩ 1W ±5% (CMS 1206),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±5%, CMS 1206","Résistance 1.3kΩ, 1W, ±5%, boîtier CMS 1206."
LS-CO-001196,Résistance 1.3kΩ 1W ±5% (CMS 0603),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±5%, CMS 0603","Résistance 1.3kΩ, 1W, ±5%, boîtier CMS 0603."
LS-CO-001197,Résistance 1.3kΩ 1W ±10% (traversant (THT)),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±10%, traversant (THT)","Résistance 1.3kΩ, 1W, ±10%, boîtier traversant (THT)."
LS-CO-001198,Résistance 1.3kΩ 1W ±10% (CMS 0805),Composants,0.16,en stock,"1.3kΩ, 1W, tolérance ±10%, CMS 0805","Résistance 1.3kΩ, 1W, ±10%, boîtier CMS 0805."
LS-CO-001199,Résistance 1.3kΩ 1W ±10% (CMS 1206),Composants,0.16,stock faible,"1.3kΩ, 1W, tolérance ±10%, CMS 1206","Résistance 1.3kΩ, 1W, ±10%, boîtier CMS 1206."
LS-CO-001200,Résistance 1.3kΩ 1W ±10% (CMS 0603),Composants,0.15,en stock,"1.3kΩ, 1W, tolérance ±10%, CMS 0603","Résistance 1.3kΩ, 1W, ±10%, boîtier CMS 0603."
LS-CO-001201,Résistance 13kΩ 1/8W ±1% (traversant (THT)),Composants,0.2,en stock,"13kΩ, 1/8W, tolérance ±1%, traversant (THT)","Résistance 13kΩ, 1/8W, ±1%, boîtier traversant (THT)."
LS-CO-001202,Résistance 13kΩ 1/8W ±1% (CMS 0805),Composants,0.21,en stock,"13kΩ, 1/8W, tolérance ±1%, CMS 0805","Résistance 13kΩ, 1/8W, ±1%, boîtier CMS 0805."
LS-CO-001203,Résistance 13kΩ 1/8W ±1% (CMS 1206),Composants,0.2,en stock,"13kΩ, 1/8W, tolérance ±1%, CMS 1206","Résistance 13kΩ, 1/8W, ±1%, boîtier CMS 1206."
LS-CO-001204,Résistance 13kΩ 1/8W ±1% (CMS 0603),Composants,0.21,en stock,"13kΩ, 1/8W, tolérance ±1%, CMS 0603","Résistance 13kΩ, 1/8W, ±1%, boîtier CMS 0603."
LS-CO-001205,Résistance 13kΩ 1/8W ±5% (traversant (THT)),Composants,0.2,stock faible,"13kΩ, 1/8W, tolérance ±5%, traversant (THT)","Résistance 13kΩ, 1/8W, ±5%, boîtier traversant (THT)."
LS-CO-001206,Résistance 13kΩ 1/8W ±5% (CMS 0805),Composants,0.2,en stock,"13kΩ, 1/8W, tolérance ±5%, CMS 0805","Résistance 13kΩ, 1/8W, ±5%, boîtier CMS 0805."
LS-CO-001207,Résistance 13kΩ 1/8W ±5% (CMS 1206),Composants,0.21,en stock,"13kΩ, 1/8W, tolérance ±5%, CMS 1206","Résistance 13kΩ, 1/8W, ±5%, boîtier CMS 1206."
LS-CO-001208,Résistance 13kΩ 1/8W ±5% (CMS 0603),Composants,0.21,en stock,"13kΩ, 1/8W, tolérance ±5%, CMS 0603","Résistance 13kΩ, 1/8W, ±5%, boîtier CMS 0603."
LS-CO-001209,Résistance 13kΩ 1/8W ±10% (traversant (THT)),Composants,0.2,en stock,"13kΩ, 1/8W, tolérance ±10%, traversant (THT)","Résistance 13kΩ, 1/8W, ±10%, boîtier traversant (THT)."
LS-CO-001210,Résistance 13kΩ 1/8W ±10% (CMS 0805),Composants,0.21,en stock,"13kΩ, 1/8W, tolérance ±10%, CMS 0805","Résistance 13kΩ, 1/8W, ±10%, boîtier CMS 0805."
LS-CO-001211,Résistance 13kΩ 1/8W ±10% (CMS 1206),Composants,0.2,en stock,"13kΩ, 1/8W, tolérance ±10%, CMS 1206","Résistance 13kΩ, 1/8W, ±10%, boîtier CMS 1206."
LS-CO-001212,Résistance 13kΩ 1/8W ±10% (CMS 0603),Composants,0.21,en stock,"13kΩ, 1/8W, tolérance ±10%, CMS 0603","Résistance 13kΩ, 1/8W, ±10%, boîtier CMS 0603."
LS-CO-001213,Résistance 13kΩ 1/4W ±1% (traversant (THT)),Composants,0.2,stock faible,"13kΩ, 1/4W, tolérance ±1%, traversant (THT)","Résistance 13kΩ, 1/4W, ±1%, boîtier traversant (THT)."
LS-CO-001214,Résistance 13kΩ 1/4W ±1% (CMS 0805),Composants,0.21,en stock,"13kΩ, 1/4W, tolérance ±1%, CMS 0805","Résistance 13kΩ, 1/4W, ±1%, boîtier CMS 0805."
LS-CO-001215,Résistance 13kΩ 1/4W ±1% (CMS 1206),Composants,0.2,en stock,"13kΩ, 1/4W, tolérance ±1%, CMS 1206","Résistance 13kΩ, 1/4W, ±1%, boîtier CMS 1206."
LS-CO-001216,Résistance 13kΩ 1/4W ±1% (CMS 0603),Composants,0.21,en stock,"13kΩ, 1/4W, tolérance ±1%, CMS 0603","Résistance 13kΩ, 1/4W, ±1%, boîtier CMS 0603."
LS-CO-001217,Résistance 13kΩ 1/4W ±5% (traversant (THT)),Composants,0.2,en stock,"13kΩ, 1/4W, tolérance ±5%, traversant (THT)","Résistance 13kΩ, 1/4W, ±5%, boîtier traversant (THT)."
LS-CO-001218,Résistance 13kΩ 1/4W ±5% (CMS 0805),Composants,0.21,stock faible,"13kΩ, 1/4W, tolérance ±5%, CMS 0805","Résistance 13kΩ, 1/4W, ±5%, boîtier CMS 0805."
